Id,preco
0,938350.41
1,653868.93
2,731371.74
3,704723.74
4,704723.74
5,651238.46
6,859537.89
7,4752423.02
8,678593.26
9,943331.29
10,731371.74
11,673907.26
12,912491.48
13,616898.12
14,815968.85
15,702255.02
16,678593.26
17,653868.93
18,704723.74
19,951556.49
20,815968.85
21,651238.46
22,653868.93
23,623052.46
24,734154.55
25,675284.76
26,704723.74
27,702255.02
28,814519.62
29,815968.85
30,678593.26
31,954141.66
32,961853.88
33,1031761.98
34,943881.94
35,673907.26
36,705743.23
37,1091442.18
38,671438.55
39,731371.74
40,1018991.58
41,738478.17
42,678593.26
43,863328.45
44,832086.18
45,622054.67
46,997642.55
47,704723.74
48,682443.55
49,859537.89
50,704723.74
51,678593.26
52,815968.85
53,813500.13
54,1249623.22
55,717782.06
56,746731.62
57,678593.26
58,815968.85
59,1038641.29
60,1051051.45
61,731371.74
62,882439.70
63,1103411.27
64,731371.74
65,731371.74
66,704723.74
67,930159.87
68,815968.85
69,1101871.66
70,1006470.53
71,651400.22
72,731371.74
73,704723.74
74,731371.74
75,1051051.45
76,653868.93
77,653868.93
78,653868.93
79,2263796.53
80,1101871.66
81,704723.74
82,671438.55
83,954141.66
84,1082028.78
85,706701.99
86,731371.74
87,728227.20
88,704723.74
89,705743.23
90,718046.27
91,757872.05
92,653868.93
93,654888.42
94,639073.90
95,813500.13
96,917129.86
97,1038641.29
98,634219.22
99,704723.74
100,731371.74
101,702255.02
102,995841.80
103,815968.85
104,702255.02
105,757872.05
106,838905.51
107,838300.69
108,702255.02
109,731371.74
110,718046.27
111,829291.38
112,653868.93
113,624764.34
114,826660.91
115,746319.11
116,704723.74
117,1143801.99
118,907703.24
119,653868.93
120,1025186.91
121,623052.46
122,815968.85
123,678593.26
124,678593.26
125,731371.74
126,704723.74
127,954141.66
128,655026.91
129,898657.45
130,913821.36
131,1051051.45
132,845509.13
133,1025186.91
134,861060.89
135,703274.51
136,668808.07
137,1029903.18
138,782683.66
139,731371.74
140,1082028.78
141,731371.74
142,651238.46
143,927592.99
144,667191.47
145,704723.74
146,653868.93
147,1102383.66
148,671438.55
149,943881.94
150,704723.74
151,715577.55
152,782683.66
153,829291.38
154,704723.74
155,704723.74
156,673907.26
157,731371.74
158,702255.02
159,1051051.45
160,912999.47
161,705743.23
162,796319.14
163,613362.30
164,587070.32
165,678593.26
166,648550.70
167,718046.27
168,702255.02
169,943331.29
170,671438.55
171,702255.02
172,731371.74
173,1101871.66
174,731371.74
175,1103411.27
176,1201161.92
177,731371.74
178,951672.95
179,624602.59
180,782683.66
181,746731.62
182,1062144.75
183,671438.55
184,718046.27
185,731371.74
186,815968.85
187,702255.02
188,804957.72
189,678593.26
190,1007824.81
191,964308.85
192,651400.22
193,704723.74
194,704723.74
195,898657.45
196,666428.70
197,963194.42
198,651400.22
199,704723.74
200,924601.38
201,704723.74
202,702255.02
203,1013217.82
204,704723.74
205,623052.46
206,653868.93
207,704723.74
208,815968.85
209,943881.94
210,813500.13
211,1038641.29
212,718046.27
213,718046.27
214,912514.82
215,702255.02
216,595772.21
217,815968.85
218,731371.74
219,651238.46
220,1101871.66
221,838905.51
222,1142223.76
223,623052.46
224,653868.93
225,671438.55
226,653868.93
227,705743.23
228,1147953.83
229,2110965.52
230,678593.26
231,728227.20
232,704723.74
233,731371.74
234,673907.26
235,641758.94
236,782683.66
237,964322.59
238,943881.94
239,731371.74
240,869117.17
241,653868.93
242,704723.74
243,731371.74
244,897790.78
245,653868.93
246,734264.02
247,718046.27
248,731371.74
249,882439.70
250,938350.41
251,595772.21
252,673907.26
253,731371.74
254,731371.74
255,673907.26
256,678593.26
257,785152.38
258,1038641.29
259,864017.98
260,651400.22
261,862445.82
262,673907.26
263,750559.04
264,653868.93
265,678593.26
266,678593.26
267,671438.55
268,703112.75
269,861060.89
270,731371.74
271,829291.38
272,813500.13
273,731371.74
274,731371.74
275,673907.26
276,704723.74
277,912491.48
278,678593.26
279,838905.51
280,666428.70
281,1768711.24
282,731371.74
283,702255.02
284,912491.48
285,1112325.21
286,620583.75
287,813500.13
288,673907.26
289,785152.38
290,785152.38
291,704723.74
292,838905.51
293,704723.74
294,1007824.81
295,706701.99
296,706701.99
297,838905.51
298,668808.07
299,704723.74
300,767762.63
301,705743.23
302,731371.74
303,671438.55
304,678593.26
305,715577.55
306,653868.93
307,731371.74
308,731371.74
309,685074.03
310,704723.74
311,1038641.29
312,943881.94
313,653868.93
314,678593.26
315,911278.85
316,1355843.77
317,865657.58
318,702255.02
319,648550.70
320,623052.46
321,1051051.45
322,815968.85
323,673907.26
324,620583.75
325,715577.55
326,731371.74
327,1051051.45
328,813500.13
329,678593.26
330,702255.02
331,610731.82
332,727571.47
333,866486.69
334,938350.41
335,731371.74
336,667191.47
337,815968.85
338,947289.61
339,673907.26
340,702255.02
341,1022866.24
342,879970.98
343,943881.94
344,814357.86
345,802545.89
346,627233.06
347,859537.89
348,704723.74
349,917129.86
350,704723.74
351,913821.36
352,673907.26
353,865657.58
354,731371.74
355,731371.74
356,704723.74
357,919502.19
358,671438.55
359,972827.10
360,653868.93
361,875363.18
362,623052.46
363,627233.06
364,728227.20
365,731371.74
366,913791.00
367,666428.70
368,1051051.45
369,1382680.04
370,654888.42
371,677372.40
372,731371.74
373,943881.94
374,782683.66
375,1076994.67
376,704723.74
377,729246.69
378,986718.78
379,673907.26
380,704723.74
381,678593.26
382,731371.74
383,865657.58
384,845509.13
385,673907.26
386,919502.19
387,938350.41
388,667191.47
389,885739.41
390,704723.74
391,731371.74
392,954548.02
393,671438.55
394,678593.26
395,678593.26
396,702255.02
397,731371.74
398,718046.27
399,673907.26
400,735283.51
401,731371.74
402,704723.74
403,704723.74
404,815968.85
405,912127.24
406,667191.47
407,731371.74
408,911278.85
409,842796.11
410,673907.26
411,653868.93
412,566043.32
413,862445.82
414,704723.74
415,728227.20
416,704723.74
417,671438.55
418,678593.26
419,675284.76
420,704723.74
421,728063.25
422,595772.21
423,654888.42
424,678593.26
425,671438.55
426,815968.85
427,826822.66
428,1076994.67
429,667191.47
430,704723.74
431,653868.93
432,814519.62
433,652419.71
434,943881.94
435,702093.26
436,940819.13
437,961853.88
438,677372.40
439,653868.93
440,704723.74
441,704723.74
442,678593.26
